trial,log_ksat,log_kyx,ksat_wyc,kyx_awyc,rmse
1,-6.9983,4.0475,1.0040000000000009e-07,11154.999999999989,0.025268826441772287
2,-7.3482,4.0475,4.48559850607933e-08,11154.999999999989,0.025289490807009
3,-6.9983,4.2498,1.0040000000000009e-07,17776.368861702904,0.02526874962336664
4,-6.6484,4.2498,2.247227429369432e-07,17776.368861702867,0.02518257967439885
5,-6.2984,4.351,5.029911473416695e-07,22440.358599562936,0.024854467582202385
6,-6.2984,4.5534,5.029911473416695e-07,35760.47439307198,0.024853783926721863
7,-5.9485,4.8064,1.1258321743388427e-06,64028.027067044684,0.023870553760568174
8,-5.2487,4.9076,5.640275070566339e-06,80827.07435838862,0.022978111220360014
9,-4.9983,5.0,1.0040000000000009e-05,100000.0,0.03042805513074939
10,-4.9983,5.0,1.0040000000000009e-05,100000.0,0.03042805513074939
11,-5.9485,4.604,1.1258321743388449e-06,40178.77033771577,0.0238718094910591
